COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,COUNTY NAME,STATE,Health_District,Lab_Report_Date,Number_of_PCR_Testing_Encounters,Number_of_Positive_PCR_Testing_Encounters,Total_Number_of_Testing_Encounters,Total_Number_of_Positive_Testing_Encounters
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/29/2020,267,33,267,33
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/30/2020,296,46,358,47
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/1/2020,382,61,441,61
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/2/2020,397,51,475,51
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/3/2020,331,44,342,44
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/4/2020,313,47,325,47
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/5/2020,353,49,359,49
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/6/2020,254,56,256,56
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/7/2020,544,95,556,95
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/8/2020,640,83,658,83
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/9/2020,737,141,756,142
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/10/2020,654,83,707,84
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/11/2020,649,100,666,102
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/12/2020,640,101,641,101
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/13/2020,696,104,698,104
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/14/2020,649,104,669,105
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/15/2020,518,82,552,86
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/16/2020,567,89,582,90
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/17/2020,1094,141,1113,146
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/18/2020,723,110,730,112
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/19/2020,511,63,513,64
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/20/2020,624,89,627,89
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/21/2020,914,94,928,97
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/22/2020,657,84,677,86
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/23/2020,845,104,858,104
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/24/2020,677,82,694,84
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/25/2020,676,66,683,66
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/26/2020,628,65,644,66
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/27/2020,429,63,429,63
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/28/2020,703,77,711,77
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/29/2020,863,95,874,95
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/30/2020,647,72,661,75
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,7/31/2020,636,73,641,73
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,8/1/2020,524,47,529,47
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,8/2/2020,602,68,609,68
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,8/3/2020,549,53,549,53
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,8/4/2020,318,39,321,39
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,8/5/2020,842,75,858,77
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,8/6/2020,467,54,480,57
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,8/7/2020,504,50,518,53
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,8/8/2020,481,36,491,37
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,8/9/2020,544,42,546,42
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,8/10/2020,326,31,326,31
